# NoShotZone v1  crc=0xD4DBC664  units=mm  frame=world
# Polygon(e) der ERLAUBTEN Schusszone: innerhalb = Feuern erlaubt, ausserhalb = No-Shot.
# Mehrere Ringe durch Leerzeile getrennt (Loecher = No-Shot-Inseln).
# x,y  (Welt, Millimeter, ganzzahlig)
#
# SOURCE OF TRUTH dieser Datei im Repo (siehe Controller/Manager6_3_0/KartenUpload.md):
#   - Normalbetrieb: der VPS-Editor aendert die Karte auf dem Manager (LittleFS)
#     und committet den bestaetigten Stand automatisch HIERHIN zurueck (/mapsync).
#   - Notweg ohne VPS: diese Datei von Hand anpassen, Version im Header hoch-
#     zaehlen, LittleFS-Image aus diesem data/-Ordner bauen und per USB oder
#     OTA auf den Manager flashen (KartenUpload.md, Abschnitt "Notweg").
#   - Map/backup/noshot.csv ist NUR eine Sicherheitskopie, keine Quelle.
#   - crc= ist NUR informativ (CRC32 ueber die Punkte unten, OHNE Kopfzeile -
#     ein CRC ueber die ganze Datei inkl. sich selbst waere unmoeglich). Fuers
#     Uebertragungsprotokoll zaehlt allein das, was der Manager beim Booten
#     tatsaechlich berechnet (mapFileInfo/fileCrc), nicht dieser Text.
115,2
132,1301
1891,1376
2922,2558
3475,4946
4078,7485
4631,9998
5008,12537
5360,13668
6718,13668
6693,12512
6768,11255
7773,11280
7824,10602
8729,10577
8653,9546
7824,9471
7748,44
