# RasenKarte v1  crc=0x9B922F83  units=mm  frame=world
# Rasen-Umriss: innerhalb = relevanter Bereich fuer die Katzendetektion.
# x,y  (Welt, Millimeter, ganzzahlig)
#
# SOURCE OF TRUTH dieser Datei im Repo (siehe Controller/Manager6_3_0/KartenUpload.md):
#   - Normalbetrieb: der VPS-Editor aendert die Karte auf dem Manager (LittleFS)
#     und committet den bestaetigten Stand automatisch HIERHIN zurueck (/mapsync).
#   - Notweg ohne VPS: diese Datei von Hand anpassen, Version im Header hoch-
#     zaehlen, LittleFS-Image aus diesem data/-Ordner bauen und per USB oder
#     OTA auf den Manager flashen (KartenUpload.md, Abschnitt "Notweg").
#   - Map/backup/rasen.csv ist NUR eine Sicherheitskopie, keine Quelle.
#   - crc= ist NUR informativ (CRC32 ueber die Punkte unten, OHNE Kopfzeile -
#     ein CRC ueber die ganze Datei inkl. sich selbst waere unmoeglich). Fuers
#     Uebertragungsprotokoll zaehlt allein das, was der Manager beim Booten
#     tatsaechlich berechnet (mapFileInfo/fileCrc), nicht dieser Text.
2,562
-5,580
-3,742
0,1349
23,1552
811,1465
841,1632
845,1631
1212,2025
1366,2129
1336,2347
1674,2511
1960,2699
1837,3023
1972,3130
2098,3246
2155,3706
2169,3989
2235,4210
1658,5028
2173,4676
2343,5191
2452,5464
2512,5898
2806,6445
2908,6931
3021,7481
3057,8400
3146,8907
3205,9166
3388,9933
3601,11031
3817,12426
4161,13660
4610,14506
6036,16141
6187,16117
6387,16094
6564,16090
6786,16022
6911,16014
7062,16014
7709,11775
8174,11864
8449,11184
8884,11177
8424,8572
8389,7589
8366,6735
8373,6111
8378,5594
8658,5620
8348,4653
8266,4152
8301,3876
8336,3623
8289,3290
8131,3095
8255,2797
8239,2561
8485,2597
8233,2180
8262,2039
8239,1859
9033,2078
8590,1488
9052,1587
8294,1186
