# PanTiltKarte  Kopf=(4.6543,-0.2813)  phi=1.657047
# X,Y
0.1653,0.1793
0.0061,1.0391
0.0134,1.5804
0.6546,1.4877
0.9347,1.8540
1.0693,1.9466
1.2827,1.9808
1.4290,2.0499
1.6446,2.2315
1.7371,2.3324
1.7252,2.5333
2.0159,2.4374
1.7240,2.7382
1.8119,3.0892
1.9440,3.1701
2.0833,3.2391
2.0643,3.5382
2.1037,3.7782
2.2183,3.9140
2.2646,4.1864
2.3287,4.4572
2.4692,5.0887
2.5401,5.4830
2.5742,6.0672
2.8516,5.7883
2.7289,6.3712
2.8662,6.8153
3.0948,8.4370
3.2792,9.3306
3.4700,10.7242
3.8570,10.7292
4.1703,10.6223
4.1486,13.2391
4.5228,13.6202
4.6177,14.4978
7.0163,15.9926
7.4653,15.8950
7.7660,14.5383
8.0177,13.3525
8.2539,12.3904
8.4264,11.1524
9.1324,10.8819
9.5746,10.8440
9.0645,8.8181
8.9525,7.8510
8.9431,7.1898
8.8739,6.5088
8.8223,5.9311
8.7849,5.4337
8.7482,4.9856
8.6767,4.5366
8.6682,4.1989
8.5833,3.8075
8.6095,3.5572
8.5424,3.2370
8.5509,3.0049
8.5039,2.7418
8.4712,2.5063
8.4920,2.3212
8.4799,1.9401
8.3014,1.6696
8.3429,1.5291
8.3080,1.2055
8.3201,1.0633
8.2940,0.9113
8.2964,0.7729
8.3598,0.5160
8.2984,0.2401
8.0397,0.1790
