# PanTiltKarte  Kopf=(5.4036,-0.2912)  phi=1.585991
# X,Y
0.0015,0.5618
-0.0049,0.5799
-0.0031,0.7420
0.0005,1.3487
0.0229,1.5515
0.8113,1.4648
0.8410,1.6324
0.8450,1.6307
1.2121,2.0249
1.3665,2.1293
1.3357,2.3472
1.6743,2.5111
1.9601,2.6986
1.8366,3.0233
1.9725,3.1303
2.0984,3.2460
2.1552,3.7055
2.1689,3.9887
2.2347,4.2096
1.6584,5.0282
2.1731,4.6759
2.3434,5.1907
2.4521,5.4641
2.5120,5.8983
2.8063,6.4448
2.9078,6.9309
3.0212,7.4807
3.0572,8.3996
3.1459,8.9068
3.2051,9.1657
3.3877,9.9329
3.6014,11.0307
3.8171,12.4260
4.1611,13.6597
4.6105,14.5056
6.0364,16.1411
6.1868,16.1170
6.3874,16.0944
6.5638,16.0901
6.7856,16.0222
6.9109,16.0141
7.0624,16.0142
7.7094,11.7751
8.1741,11.8640
8.4486,11.1838
8.8841,11.1768
8.4238,8.5723
8.3891,7.5887
8.3656,6.7348
8.3729,6.1112
8.3783,5.5939
8.6581,5.6199
8.3475,4.6532
8.2658,4.1516
8.3011,3.8758
8.3355,3.6231
8.2887,3.2901
8.1314,3.0948
8.2552,2.7966
8.2391,2.5610
8.4849,2.5969
8.2333,2.1795
8.2618,2.0392
8.2394,1.8590
9.0334,2.0775
8.5900,1.4876
9.0518,1.5868
8.2942,1.1856
